timestamp,power,1/Toaster,2/TV,3/Microwave,5/Exhaust Fan,11/Heater
1651343719,8.39,0,0,0,0,0
1.651345345E9,8.39,0,0,0,0,0
1.651341258E9,13.39,0,0,0,0,0
1.651335584E9,10.39,0,0,0,0,0
1.65132399E9,19.39,0,0,0,0,0
1.651308329E9,19.39,0,0,0,0,0
1.651290871E9,26.39,0,0,0,0,0
1.651269486E9,26.39,0,0,0,0,0
1.651240996E9,26.39,0,0,0,0,0
1.65121426E9,18.39,0,0,0,0,0
1.651183928E9,11.39,0,0,0,0,0
1.651146067E9,19.39,0,0,0,0,0
1.651107811E9,10.39,0,0,0,0,0
1.651067093E9,15.39,0,0,0,0,0
1.651021664E9,6.390000000000001,0,0,0,0,0
1.650967673E9,4.390000000000001,0,0,0,0,0
1.650912405E9,7.390000000000001,0,0,0,0,0
1.650851949E9,5.390000000000001,0,0,0,0,0
1.650793516E9,14.39,0,0,0,0,0
1.65072581E9,22.39,0,0,0,0,0
1.65065563E9,29.39,0,0,0,0,0
1.650582551E9,22.39,0,0,0,0,0
1.650505551E9,28.39,0,0,0,0,0
1.650423919E9,28.39,0,0,0,0,0
1.650337661E9,29.39,0,0,0,0,0
1.65025385E9,21.39,0,0,0,0,0
1.650161301E9,13.39,0,0,0,0,0
1.650071288E9,22.39,0,0,0,0,0
1.649970756E9,29.39,0,0,0,0,0
1.649869159E9,22.39,0,0,0,0,0
1.649762991E9,17.39,0,0,0,0,0
1.649652261E9,17.39,0,0,0,0,0
1.649539394E9,9.39,0,0,0,0,0
1.649426012E9,16.39,0,0,0,0,0
1.649310776E9,23.39,0,0,0,0,0
1.649185109E9,14.39,0,0,0,0,0
1.649061769E9,23.39,0,0,0,0,0
1.648932931E9,32.39,0,0,0,0,0
1.648799394E9,29.39,0,0,0,0,0
1.648665912E9,26.39,0,0,0,0,0
1.648525718E9,18.39,0,0,0,0,0
1.648385184E9,22.39,0,0,0,0,0
1.648237637E9,28.39,0,0,0,0,0
1.648086611E9,21.39,0,0,0,0,0
1.647932729E9,20.39,0,0,0,0,0
1.647773731E9,16.39,0,0,0,0,0
1.647609698E9,16.39,0,0,0,0,0
1.64744475E9,13.39,0,0,0,0,0
1.647277553E9,15.39,0,0,0,0,0
1.647103305E9,15.39,0,0,0,0,0
1.646928306E9,7.390000000000001,0,0,0,0,0
1.646747413E9,15.39,0,0,0,0,0
1.646564028E9,21.39,0,0,0,0,0
1.646377465E9,19.39,0,0,0,0,0
1.646189173E9,22.39,0,0,0,0,0
1.645992791E9,18.39,0,0,0,0,0
1.645798374E9,15.39,0,0,0,0,0
1.645593509E9,18.39,0,0,0,0,0
1.64538984E9,16.39,0,0,0,0,0
1.645178101E9,22.39,0,0,0,0,0
1.644968125E9,13.39,0,0,0,0,0
1.644751596E9,13.39,0,0,0,0,0
1.64453242E9,7.390000000000001,0,0,0,0,0
1.644305863E9,4.390000000000001,0,0,0,0,0
1.644076269E9,0.0,0,0,0,0,0
1.643845592E9,0.0,0,0,0,0,0
1.64361263E9,0.0,0,0,0,0,0
1.643377206E9,0.0,0,0,0,0,0
1.643136946E9,0.0,0,0,0,0,0
1.642890909E9,0.0,0,0,0,0,0
1.642640947E9,0.0,0,0,0,0,0
1.642386462E9,0.0,0,0,0,0,0
1.642130183E9,0.0,0,0,0,0,0
1.641873308E9,0.0,0,0,0,0,0
1.641612273E9,0.0,0,0,0,0,0
1.641346048E9,0.0,0,0,0,0,0
1.641078327E9,0.0,0,0,0,0,0
1.640807426E9,0.0,0,0,0,0,0
1.640533148E9,0.0,0,0,0,0,0
1.640250336E9,0.0,0,0,0,0,0
1.639967837E9,0.0,0,0,0,0,0
1.639677014E9,0.0,0,0,0,0,0
1.639384392E9,0.0,0,0,0,0,0
1.639089492E9,0.0,0,0,0,0,0
1.638787552E9,0.0,0,0,0,0,0
1.638485626E9,0.0,0,0,0,0,0
1.638177984E9,0.0,0,0,0,0,0
1.637870345E9,0.0,0,0,0,0,0
1.637555389E9,0.0,0,0,0,0,0
1.63723576E9,0.0,0,0,0,0,0
1.636918346E9,0.0,0,0,0,0,0
1.636590766E9,0.0,0,0,0,0,0
1.636266652E9,0.0,0,0,0,0,0
1.635932688E9,0.0,0,0,0,0,0
1.635594894E9,0.0,0,0,0,0,0
1.635252963E9,0.0,0,0,0,0,0
1.634907668E9,0.0,0,0,0,0,0
1.634559248E9,0.0,0,0,0,0,0
1.634206591E9,0.0,0,0,0,0,0
1.633855807E9,0.0,0,0,0,0,0
1651343725,4.79,0,0,0,0,0
1.651345411E9,3.79,0,0,0,0,0
1.651339536E9,0.0,0,0,0,0,0
1.651329876E9,0.0,0,0,0,0,0
1.651321193E9,0.0,0,0,0,0,0
1.651307062E9,0.0,0,0,0,0,0
1.651286068E9,0.0,0,0,0,0,0
1.651265131E9,0.0,0,0,0,0,0
1.65124165E9,0.0,0,0,0,0,0
1.651214006E9,0.0,0,0,0,0,0
1.651179007E9,0.0,0,0,0,0,0
1.651145182E9,0.0,0,0,0,0,0
1.651107155E9,0.0,0,0,0,0,0
1.651060411E9,0.0,0,0,0,0,0
1.651015063E9,0.0,0,0,0,0,0
1.650963734E9,0.0,0,0,0,0,0
1.650911894E9,0.0,0,0,0,0,0
1.650851496E9,0.0,0,0,0,0,0
1.650793142E9,0.0,0,0,0,0,0
1.650730092E9,0.0,0,0,0,0,0
1.650663652E9,0.0,0,0,0,0,0
1.650594283E9,0.0,0,0,0,0,0
1.650515327E9,0.0,0,0,0,0,0
1.650438847E9,0.0,0,0,0,0,0
1.650354117E9,0.0,0,0,0,0,0
1.650266063E9,0.0,0,0,0,0,0
1.650176589E9,0.0,0,0,0,0,0
1.65008341E9,0.0,0,0,0,0,0
1.649989731E9,0.0,0,0,0,0,0
1.649887578E9,0.0,0,0,0,0,0
1.649780882E9,0.0,0,0,0,0,0
1.649671465E9,0.0,0,0,0,0,0
1.649560836E9,0.0,0,0,0,0,0
1.649444268E9,0.0,0,0,0,0,0
1.649327E9,0.0,0,0,0,0,0
1.649205774E9,0.0,0,0,0,0,0
1.649078257E9,0.0,0,0,0,0,0
1.648952227E9,0.0,0,0,0,0,0
1.648819728E9,0.0,0,0,0,0,0
1.648684957E9,0.0,0,0,0,0,0
1.648543137E9,0.0,0,0,0,0,0
1.648399527E9,0.0,0,0,0,0,0
1.648252067E9,0.0,0,0,0,0,0
1.648099015E9,0.0,0,0,0,0,0
1.647944201E9,0.0,0,0,0,0,0
1.647783068E9,0.0,0,0,0,0,0
1.647620113E9,0.0,0,0,0,0,0
1.647457167E9,0.0,0,0,0,0,0
1.647289488E9,0.0,0,0,0,0,0
1.647115712E9,0.0,0,0,0,0,0
1.646941104E9,0.0,0,0,0,0,0
1.646761979E9,0.0,0,0,0,0,0
1.646575563E9,0.0,0,0,0,0,0
1.646388287E9,0.0,0,0,0,0,0
1.646197441E9,0.0,0,0,0,0,0
1.64600231E9,0.0,0,0,0,0,0
1.645806622E9,0.0,0,0,0,0,0
1.645607391E9,0.0,0,0,0,0,0
